Date,OUTPUT
2022-05-04 10:01:40,"<li>Blue Acres to receive $50M in new funding for flood buyout program (<a href=""https://www.njspotlightnews.org/2022/05/energy-environment-water-blue-acres-50-million-federal-funding-flood-buyouts-gov-murphy-tropical-storm-ida-victims-disaster-recovery/"">NJ Spotlight</a>)"
,-
2022-05-05 17:37:18,"<li>Rizzo’s Harding property loses tax-exempt status (<a href=""https://newjerseyglobe.com/congress/rizzos-harding-county-property-loses-tax-exempt-status/"">NJ Globe</a>)"
,-
2022-05-05 18:04:24,"<li>241-Unit Development With Affordable Housing Set-Aside Proposed in Newark (<a href=""https://www.tapinto.net/towns/newark/sections/development/articles/241-unit-development-with-affordable-housing-set-aside-proposed-in-newark"">TAPinto Newark</a>)"
2022-05-09 11:52:07,"<li>Rendering Revealed for Mixed-Use Affordable Housing Development in Newark, New Jersey (<a href=""https://newyorkyimby.com/2022/05/rendering-revealed-for-127-orchard-street-in-newark-new-jersey.html"">New York YIMBY</a>)"
2022-05-09 11:53:22,"<li>Toms River NJ open space: North Dover properties sought to be acquired (<a href=""https://www.app.com/story/news/local/redevelopment/2022/05/09/toms-river-nj-open-space-north-dover-properties-sought-acquired/9559500002/"">Asbury Park Press</a>)"
,-
2022-05-10 10:11:40,"<li>Why is affordable housing so hard to find in New Jersey? (<a href=""https://www.northjersey.com/story/news/2022/05/10/why-affordable-housing-so-hard-find-new-jersey/9627167002/"">NorthJersey.com</a>)"
,-
2022-05-11 18:12:24,"<li>Hoboken condo group sues landlord, including Jersey City mayor’s wife, of potential dispensary (<a href=""https://www.nj.com/hudson/2022/05/hoboken-condo-group-sues-landlord-including-jersey-city-mayors-wife-of-potential-dispensary.html"">NJ.com</a>)"
,-
2022-05-12 14:35:57,"<li>$900M In Tax Relief Could Be Coming To 1.8M NJ Homeowners, Renters (<a href=""https://patch.com/new-jersey/hillsborough/900m-tax-relief-could-be-coming-1-8m-nj-homeowners-renters"">Patch</a>)"
2022-05-12 14:40:37,"<li>Bill would set aside $25M annually in down payment aid for first-time home buyers (<a href=""https://newjerseymonitor.com/2022/05/12/bill-would-set-aside-25m-annually-in-down-payment-aid-for-first-time-home-buyers/"">NJ Monitor</a>)"
2022-05-12 14:38:02,"<li>Op-Ed: You could be eligible for help with utility bills (<a href=""https://www.njspotlightnews.org/2022/05/op-ed-spreading-the-word-about-utility-payment-assistance-avoid-shutoffs-many-programs-federal-funds/"">NJ Spotlight</a>)"
,-
2022-05-12 20:10:07,"<li>Newark Commits $20M In Affordable Housing Projects Across City (<a href=""https://www.tapinto.net/towns/newark/sections/south-ward/articles/newark-commits-20m-in-affordable-housing-projects-across-city"">TAPinto Newark</a>)"
2022-05-16 08:55:29,"<li>Hundreds living in deplorable city complex where owner hit with over 1K violations (<a href=""https://www.nj.com/camden/2022/05/hundreds-living-in-deplorable-city-complex-where-owner-hit-with-over-1k-violations.html"">NJ.com</a>)"
2022-05-16 17:03:34,"<li>Plan: Tear down Plaza 1000 office building in Main Street Voorhees, build residential development. (<a href=""https://www.70and73.com/news/plan-tear-down-plaza-1000-office-building-in-main-street-voorhees-build-residential-development/article_cf9a72f6-d52c-11ec-8f9a-53e73d43df05.html"">70and73.com</a>)"
,-
2022-05-22 18:34:16,"<li>Townhouses and affordable units proposed for 17.64 acres on Centerton Road in Moorestown. (<a href=""https://www.70and73.com/news/townhouses-and-affordable-units-proposed-for-17-64-acres-on-centerton-road-in-moorestown/article_f4e3b308-da11-11ec-bbec-6f2b676d68f6.html"">70and73.com</a>)"
2022-05-23 20:21:02,"<li>In Newark, HUD Secretary Touts Biden Admin’s Plan to Expand Quality Housing, Homeownership (<a href=""https://www.tapinto.net/towns/newark/sections/government/articles/in-newark-hud-secretary-touts-biden-admin-s-plan-to-expand-quality-housing-homeownership"">TAPinto Newark</a>)"
2022-05-26 12:27:52,"<li>Assembly hearing package of bills aimed at reducing food insecurity (<a href=""https://newjerseymonitor.com/2022/05/26/assembly-hearing-package-of-bills-aimed-at-reducing-food-insecurity/"">NJ Monitor</a>)"
2022-05-26 12:27:40,"<li>Murphy wants state to assume control of Andover nursing home (<a href=""https://newjerseyglobe.com/governor/murphy-wants-state-to-assume-control-of-andover-nursing-home/"">NJ Globe</a>)"
,-
2022-05-31 09:51:03,"<li>Here’s what $1M will buy you at the Jersey Shore (<a href=""https://www.nj.com/news/2022/05/heres-what-1m-will-buy-you-at-the-jersey-shore.html"">NJ.com</a>)"
,-
2022-06-02 10:11:54,"<li style=""padding-bottom:.5em"">State pushes to relocate nursing home residents (<a href=""https://www.njspotlightnews.org/2022/06/woodland-behavioral-and-nursing-center-andover-subacute-and-rehabilitation-center-covid-19-makeshift-morgue-suspended-license-restructuring-receiver-dementia-mental-illness/"">NJ Spotlight</a>)"
,-
2022-06-03 16:06:33,"<li style=""padding-bottom:.5em"">Planning Board: Abandoned Moorestown property should be condemned, marked for redevelopment. (<a href=""https://www.70and73.com/news/planning-board-abandoned-moorestown-property-should-be-condemned-marked-for-redevelopment/article_7e7fad04-e351-11ec-9648-b30e0fca95f5.html"">70and73.com</a>)"
2022-06-06 11:14:42,"<li style=""padding-bottom:.5em"">Ways to fix NJ's affordable housing shortage (<a href=""https://www.app.com/story/news/new-jersey/2022/06/06/affordable-housing-nj-ways-to-fix-crisis-homebuyer-assistance/9714970002/"">Asbury Park Press</a>)"
2022-06-06 11:12:50,"<li style=""padding-bottom:.5em"">Tiny house saved from the wrecking ball in Wildwood (<a href=""https://pressofatlanticcity.com/news/local/tiny-house-saved-from-the-wrecking-ball-in-wildwood/article_81d5980c-e1e8-11ec-a1ec-1f334321d06c.html"">Press of Atlantic City</a>)"
2022-06-06 11:12:28,"<li style=""padding-bottom:.5em"">NJ housing market stabilizing as rates climb, sale prices slow (<a href=""https://www.northjersey.com/story/news/2022/06/06/nj-housing-market-stabilizing-rates-climb-sale-prices-slow/7499102001/"">NorthJersey.com</a>)"
,-
2022-06-07 12:19:41,"<li style=""padding-bottom:.5em"">Ending delays for ‘senior freeze’ beneficiaries (<a href=""https://www.njspotlightnews.org/2022/06/senior-freeze-homestead-property-tax-reimbursement-senior-disabled-homeowners-bill/"">NJ Spotlight</a>)"
2022-06-07 12:19:14,"<li style=""padding-bottom:.5em"">Kislak sells Monmouth County apartment complex for $29M (<a href=""https://www.roi-nj.com/2022/06/07/real_estate/kislak-sells-monmouth-county-apartment-complex-for-29m/"">ROI-NJ</a>)"
,-
2022-06-07 14:23:22,"<li style=""padding-bottom:.5em"">Cherry Hill's tree law up for vote June 15; county, utilities now included, more flexibility for residents. (<a href=""https://www.70and73.com/news/cherry-hills-tree-law-up-for-vote-june-15-county-utilities-now-included-more-flexibility/article_889d9b82-e66e-11ec-8ae2-0f86a6a1b2b8.html?fbclid=IwAR155v4OXlvlnHF5vI_nghXW3msiKAadjhed6zbwKcz7TQOILqJEWldeGwk"">70and73.com</a>)"
2022-06-09 15:49:00,"<li style=""padding-bottom:.5em"">Community Food Bank of NJ receives federal grant to aid food insecure (<a href=""https://www.northjersey.com/story/news/new-jersey/2022/06/07/community-food-bank-nj-receives-federal-grant-help-food-insecure/7544473001/"">NorthJersey.com</a>)"
2022-06-09 15:48:43,"<li style=""padding-bottom:.5em"">North Jersey-area home prices fall 1% in May, with houses for sale in high demand (<a href=""https://www.northjersey.com/story/news/2022/06/08/north-jersey-area-homes-for-sale-may-listings-nj/65359442007/"">NorthJersey.com</a>)"
2022-06-09 15:46:44,"<li style=""padding-bottom:.5em"">Enclave at Dewy Meadows in Basking Ridge hits 100% leasing milestone (<a href=""https://www.roi-nj.com/2022/06/09/real_estate/enclave-at-dewy-meadows-in-basking-ridge-hits-100-leasing-milestone/"">ROI-NJ</a>)"
2022-06-09 15:46:35,"<li style=""padding-bottom:.5em"">Skye Lofts opens in Bayonne, featuring 98 apartments next to Hudson Bergen Light Rail (SLIDESHOW) (<a href=""https://www.roi-nj.com/2022/06/09/real_estate/skye-lofts-opens-in-bayonne-featuring-98-apartments-next-to-hudson-bergen-light-rail-slideshow/"">ROI-NJ</a>)"
,-
2022-06-13 09:20:14,"<li style=""padding-bottom:.5em"">Longtime South Jersey rooming house is for sale, leaving its residents in limbo (<a href=""https://www.inquirer.com/real-estate/housing/rooming-house-for-sale-south-jersey-sros-20220612.html"">The Inquirer</a>)"
2022-06-13 09:21:59,"<li style=""padding-bottom:.5em"">4 Atlantic City casinos not cleaning rooms daily, union says (<a href=""https://www.nj.com/atlantic/2022/06/4-atlantic-city-casinos-not-cleaning-rooms-daily-union-says.html"">NJ.com</a>)"
2022-06-13 09:25:46,"<li style=""padding-bottom:.5em"">Bergen County NJ real estate: 5 hot towns in a cooling housing market (<a href=""https://www.northjersey.com/story/news/bergen/2022/06/13/bergen-county-nj-real-estate-5-hot-towns-housing-market/7567095001/"">NorthJersey.com</a>)"
,-
2022-06-14 11:04:21,"<li style=""padding-bottom:.5em"">NJ evictions: How are landlords, tenants faring after moratorium end (<a href=""https://www.northjersey.com/story/news/2022/06/13/nj-evictions-how-landlords-tenants-faring-after-moratorium-end/9945362002/"">NorthJersey.com</a>)"
2022-06-14 11:08:39,"<li style=""padding-bottom:.5em"">Topping off a 33-story apartment tower, Shaq and his latest project loom large over Newark (<a href=""https://www.nj.com/essex/2022/06/topping-off-a-33-story-apartment-tower-shaq-and-his-latest-project-loom-large-over-newark.html"">NJ.com</a>)"
,-
2022-06-15 17:00:04,"<li style=""padding-bottom:.5em"">Property tax plan to deliver over 2 million rebates to New Jersey households  (<a href=""https://www.roi-nj.com/2022/06/15/politics/property-tax-plan-to-deliver-over-2-million-rebates-to-new-jersey-households/"">ROI-NJ</a>)"
2022-06-15 16:59:07,"<li style=""padding-bottom:.5em"">Murphy, legislative leadership announce deal on ANCHOR tax relief plan (<a href=""https://newjerseyglobe.com/governor/murphy-legislative-leadership-announce-deal-on-anchor-tax-relief-plan/"">NJ Globe</a>)"
2022-06-15 16:58:50,"<li style=""padding-bottom:.5em"">N.J. residents would get bigger property tax rebates under new plan announced by Murphy, top Dems (<a href=""https://www.nj.com/politics/2022/06/nj-residents-to-get-bigger-property-tax-rebates-under-new-plan-announced-by-murphy-top-dems.html"">NJ.com</a>)"
2022-06-15 17:01:29,"<li style=""padding-bottom:.5em"">Murphy's property tax plan would give some residents up to $1,500. Find out what you'd get (<a href=""https://www.northjersey.com/story/news/new-jersey/2022/06/15/nj-property-tax-relief-plan-expanded/7634606001/"">NorthJersey.com</a>)"
,-
2022-06-16 12:39:56,"<li style=""padding-bottom:.5em"">Democratic leaders bolster proposed property tax relief program (<a href=""https://newjerseymonitor.com/2022/06/15/democratic-leaders-bolster-proposed-property-tax-relief-program/"">NJ Monitor</a>)"
2022-06-16 12:39:04,"<li style=""padding-bottom:.5em"">Murphy's property tax plan would give some residents up to $1,500. Find out what you'd get (<a href=""https://www.app.com/story/news/new-jersey/2022/06/15/nj-property-tax-relief-plan-expanded/7634606001/"">Asbury Park Press</a>)"
2022-06-16 12:38:43,"<li style=""padding-bottom:.5em"">N.J. suburb is getting its first luxury apartment complex as another office building comes down (<a href=""https://www.nj.com/news/2022/06/nj-suburb-is-getting-its-first-luxury-apartment-complex-as-another-office-building-comes-down.html"">NJ.com</a>)"
2022-06-16 12:48:06,"<li style=""padding-bottom:.5em"">Today’s mortgage rates for June 16, 2022 (<a href=""https://www.nj.com/business/2022/06/todays-mortgage-rates-for-june-16-2022.html"">NJ.com</a>)"
2022-06-16 12:48:20,"<li style=""padding-bottom:.5em"">As property taxes rise, Democrats offer more for relief (<a href=""https://www.njspotlightnews.org/2022/06/property-tax-relief-homestead-anchor-gov-phil-murphy-assembly-speaker-craig-coughlin-senate-president-nicholas-scutari/"">NJ Spotlight</a>)"
,-
2022-06-20 10:46:45,"<li style=""padding-bottom:.5em"">Newark launches search engine to help renters find housing they can afford (<a href=""https://www.nj.com/essex/2022/06/newark-launches-search-engine-to-help-renters-find-housing-they-can-afford.html"">NJ.com</a>)"
2022-06-20 10:50:16,"<li style=""padding-bottom:.5em"">Here’s how much you would get in N.J. property tax rebates through Murphy’s revised $2 billion plan (<a href=""https://www.nj.com/politics/2022/06/heres-how-much-you-would-get-in-nj-property-tax-rebates-through-murphys-revised-2-billion-plan.html"">NJ.com</a>)"
,-
2022-06-20 15:15:55,"<li style=""padding-bottom:.5em"">Atlantic City bets big on development (<a href=""https://njbiz.com/atlantic-city-bets-big-on-development/"">NJBiz</a>)"
2022-06-21 09:52:10,"<li style=""padding-bottom:.5em"">Despite a hot housing market, lawsuit puts up roadblock for 600 home sellers (<a href=""https://www.nj.com/news/2022/06/despite-a-hot-housing-market-lawsuit-puts-up-roadblock-for-600-home-sellers.html"">NJ.com</a>)"
,-
2022-06-22 10:29:55,"<li style=""padding-bottom:.5em"">$87.1M financing arranged for Montclair multi-housing community (<a href=""https://www.roi-nj.com/2022/06/22/real_estate/87-1m-financing-arranged-for-montclair-multihousing-community/"">ROI-NJ</a>)"
2022-06-22 10:31:19,"<li style=""padding-bottom:.5em"">State takes action against NRIA over alleged fraud (<a href=""https://njbiz.com/state-takes-action-against-nria-for-fraud/"">NJBiz</a>)"
2022-06-22 10:31:04,"<li style=""padding-bottom:.5em"">NJ is opening its rental assistance waitlist for low-income residents. Here's how to apply (<a href=""https://www.northjersey.com/story/news/2022/06/22/nj-rental-assistance-how-apply-vouchers-waitlist/7686239001/"">NorthJersey.com</a>)"
,-
2022-06-25 10:58:02,"<li style=""padding-bottom:.5em"">The 65-year-old Animal Welfare Association in Voorhees goes far beyond cat and dog adoptions. (<a href=""https://www.70and73.com/news/the-65-year-old-animal-welfare-association-in-voorhees-goes-far-beyond-cat-and-dog/article_457b5b48-f3e6-11ec-a806-475bb0a8f8e4.html"">70and73.com</a>)"
2022-06-23 20:46:37,"<li style=""padding-bottom:.5em"">How This Developer Is Providing Newark Residents Sustainable, Affordable Housing (<a href=""https://www.tapinto.net/towns/newark/sections/green/articles/how-this-developer-is-providing-newark-residents-sustainable-affordable-housing"">TAPinto Newark</a>)"
2022-06-27 11:58:49,"<li style=""padding-bottom:.5em"">These 8 N.J. counties among most at risk in U.S. for housing price downturn (<a href=""https://www.nj.com/news/2022/06/these-8-nj-counties-among-most-at-risk-in-us-for-housing-price-downturn.html"">NJ.com</a>)"
2022-06-27 12:03:17,"<li style=""padding-bottom:.5em"">Dreaming of owning at the Jersey Shore? Here’s what $500k will get you. (<a href=""https://www.nj.com/news/2022/06/heres-what-500k-will-get-you-at-the-jersey-shore.html"">NJ.com</a>)"
,-
2022-06-28 12:02:05,"<li style=""padding-bottom:.5em"">Cherry Hill homeowners missing out on one thing they count on most: consistent trash collection. (<a href=""https://www.70and73.com/news/cherry-hill-homeowners-missing-out-on-one-thing-they-count-on-most-consistent-trash-collection/article_4c9a0352-f6f2-11ec-9d9e-5397610ed312.html?fbclid=IwAR0s9GZkGgP2GFsFwHoPHjqqXpYwoZ1AVBsWe5PfU3QuvyONy61D4YM67bM"">70and73.com</a>)"
2022-07-06 09:30:18,"<li style=""padding-bottom:.5em"">N.J.’s housing market is showing signs of softening (<a href=""https://www.nj.com/news/2022/07/njs-housing-market-is-showing-signs-of-softening.html"">NJ.com</a>)"
2022-07-06 09:33:34,"<li style=""padding-bottom:.5em"">NJ property tax relief at $2B coming, but maybe not soon (<a href=""https://www.northjersey.com/story/news/2022/07/05/nj-property-tax-relief-phil-murphy/7762117001/"">NorthJersey.com</a>)"
,-
2022-07-07 18:03:19,"<li style=""padding-bottom:.5em"">Fort Lee condo, co-op prices have dropped 10% this year. Why buyers are backing off (<a href=""https://www.northjersey.com/story/news/bergen/fort-lee/2022/07/07/fort-lee-nj-real-estate-condo-co-ops-decline-covid/65366146007/"">NorthJersey.com</a>)"
,-
2022-07-11 11:23:50,"<li style=""padding-bottom:.5em"">New Jersey accepting pre-applications for rental assistance program (<a href=""https://www.cbsnews.com/newyork/news/new-jersey-accepting-pre-applications-for-rental-assistance-program/"">CBS New York</a>)"
,-
2022-07-12 10:47:05,"<li style=""padding-bottom:.5em"">Provident Bank awards $475K as part of Neighborhood Revitalization program (<a href=""https://www.roi-nj.com/2022/07/12/finance/provident-bank-awards-475k-as-part-of-neighborhood-revitalization-program/"">ROI-NJ</a>)"
2022-07-12 10:49:52,"<li style=""padding-bottom:.5em"">The price of homes sold recently in South Jersey. Deed transfers, June 6-12, 2022. (<a href=""https://www.nj.com/atlantic/2022/07/the-price-of-homes-sold-recently-in-south-jersey-deed-transfers-june-6-12-2022.html"">NJ.com</a>)"
,-
2022-07-12 20:47:25,"<li style=""padding-bottom:.5em"">Mobile Shower Program Expands To Newark, Providing Hygienic services To unhoused residents (<a href=""https://www.tapinto.net/towns/newark/sections/giving-back/articles/mobile-shower-program-expands-to-newark-providing-hygienic-services-to-homeless-residents"">TAPinto Newark</a>)"
2022-07-13 11:15:28,"<li style=""padding-bottom:.5em"">Daycare, commercial building planned for 2.5 acres next to post office on Marlkress Road in Cherry Hill. (<a href=""https://www.70and73.com/news/daycare-commercial-building-planned-for-2-5-acres-next-to-post-office-on-marlkress-road/article_95fe7320-02a5-11ed-ad0c-bf7bd9e55df1.html"">70and73.com</a>)"
2022-07-13 11:29:33,"<li style=""padding-bottom:.5em"">Edison, N.J.: A Diverse Suburb in a Convenient Location (<a href=""https://www.nytimes.com/2022/07/13/realestate/edison-nj-a-diverse-suburb-in-a-convenient-location.html"">New York Times</a>)"
2022-07-13 11:32:28,"<li style=""padding-bottom:.5em"">Some N.J. rent assistance payments have gone missing, frustrating tenants and landlords (<a href=""https://www.nj.com/news/2022/07/some-nj-rent-assistance-payments-have-gone-missing-frustrating-tenants-and-landlords.html"">NJ.com</a>)"
,-
2022-07-14 12:14:56,"<li style=""padding-bottom:.5em"">Summer meal programs are more critical than ever (<a href=""https://www.njspotlightnews.org/video/paterson-schools-to-provide-toiletries-laundry-facilities/"">NJ Spotlight</a>)"
,-
2022-07-15 14:23:59,"<li style=""padding-bottom:.5em"">Camden Planning Board Delays Ruling on Senior Housing Near Ferry Avenue Station (<a href=""https://www.tapinto.net/towns/camden/sections/business-and-finance/articles/planning-board-delays-ruling-on-senior-housing-near-ferry-avenue-station"">TAPinto Camden</a>)"
2022-07-18 12:22:33,"<li style=""padding-bottom:.5em"">Want to carry a gun in NJ for self defense? Prepare to train, spend – and get sued. (<a href=""https://newjerseymonitor.com/2022/07/15/swelling-grocery-bills-are-pummeling-the-poorest/"">NJ Monitor</a>)"
2022-07-18 12:22:03,"<li style=""padding-bottom:.5em"">'All day, all night': Clifton residents say helicopters fly so low it shakes their homes (<a href=""https://www.northjersey.com/story/news/passaic/clifton/2022/07/18/clifton-helicopters-path-low-flying-faa/65366212007/"">NorthJersey.com</a>)"
2022-07-18 12:23:40,"<li style=""padding-bottom:.5em"">NJ warehouse market still red-hot despite economic headwinds (<a href=""https://www.njspotlightnews.org/2022/07/red-hot-nj-warehouse-market-continues-runaway-development-ratables-jobs-environment-public-health/"">NJ Spotlight</a>)"
,-
2022-07-19 11:18:05,"<li style=""padding-bottom:.5em"">[SLIDESHOW] Print House in Hackensack now open for leasing and funded with $60M loan (<a href=""https://www.roi-nj.com/2022/07/19/real_estate/print-house-in-hackensack-now-open-for-leasing-slideshow/"">ROI-NJ</a>)"
,-
2022-07-20 06:55:12,"<li style=""padding-bottom:.5em"">Affordable Housing, Medical Project Part of Statewide Push (<a href=""https://www.tapinto.net/towns/camden/sections/business-and-finance/articles/affordable-housing-medical-project-part-of-statewide-push"">TAPinto Camden</a>)"
2022-07-20 10:04:45,"<li style=""padding-bottom:.5em"">South Jersey industrial buildings sell for $19.25M (<a href=""https://www.roi-nj.com/2022/07/19/real_estate/south-jersey-industrial-buildings-sell-for-19-25m/"">ROI-NJ</a>)"
